tvl,daily_fees,daily_revenue,utility_yield_pct,symbol,total_tvl,weighted_apy,weighted_apy_base,weighted_apy_reward,total_yield_pct,date,factor_score,factor_rank,factor_percentile,total_tvl_all,signal,weight
536516099.5752396,356855.0,0.0,24.277384239377103,AERO,0.0,0.0,0.0,0.0,24.277384239377103,20251103,24.277384239377103,6.0,15.384615384615385,536516099.5752396,short,-0.14285714285714285
0.0,0.0,0.0,0.0,ARB,15440271.0,0.2532508813167852,0.2532508813167852,0.0,0.2532508813167852,20251103,0.2532508813167852,36.0,89.74358974358975,15440271.0,long,0.125
0.0,0.0,0.0,0.0,BTC,18558422925.0,0.4523541965164553,0.2558954716849906,0.1876125706136993,0.4523541965164553,20251103,0.4523541965164553,32.0,82.05128205128204,18558422925.0,long,0.125
0.0,0.0,0.0,0.0,DOT,12904692.0,12.281680883724308,2.505953055529725,9.775727828194585,12.281680883724308,20251103,12.281680883724308,7.0,17.94871794871795,12904692.0,short,-0.14285714285714285
42492458.20660767,0.0,0.0,0.0,DRIFT,0.0,0.0,0.0,0.0,0.0,20251103,0.0,41.0,100.0,42492458.20660767,long,0.125
16210201200.265,17667.0,0.0,0.0397802280202085,EIGEN,0.0,0.0,0.0,0.0,0.0397802280202085,20251103,0.0397802280202085,37.0,92.3076923076923,16210201200.265,long,0.125
9270993936.168236,289.0,0.0,0.0011377960197825,ENA,0.0,0.0,0.0,0.0,0.0011377960197825,20251103,0.0011377960197825,39.0,97.43589743589743,9270993936.168236,long,0.125
1000427919.5037792,807320.0,0.0,29.454575812534276,ETHFI,0.0,0.0,0.0,0.0,29.454575812534276,20251103,29.454575812534276,4.0,10.256410256410255,1000427919.5037792,short,-0.14285714285714285
1574341.9086271753,11322.0,0.0,262.492535919568,KNC,0.0,0.0,0.0,0.0,262.492535919568,20251103,262.492535919568,1.0,2.564102564102564,1574341.9086271753,short,-0.14285714285714285
0.0,0.0,0.0,0.0,OP,6788065.0,0.303240455851557,0.1910390380601835,0.1122014177913735,0.303240455851557,20251103,0.303240455851557,34.0,87.17948717948718,6788065.0,long,0.125
6903487089.443731,14321.0,0.0,0.075717748614218,PENDLE,23415095.0,35.15371523827514,33.32403901339328,1.8296762248818552,35.22943298688936,20251103,35.22943298688936,3.0,7.6923076923076925,6926902184.443731,short,-0.14285714285714285
2445312978.946492,23251.0,0.0,0.3470563920883561,RPL,0.0,0.0,0.0,0.0,0.3470563920883561,20251103,0.3470563920883561,33.0,84.61538461538461,2445312978.946492,long,0.125
132493390.06765388,22.0,0.0,0.0060606797032664,SNX,0.0,0.0,0.0,0.0,0.0060606797032664,20251103,0.0060606797032664,38.0,94.87179487179486,132493390.06765388,long,0.125
316811852.1314932,241454.0,0.0,27.817996519720232,SUSHI,0.0,0.0,0.0,0.0,27.817996519720232,20251103,27.817996519720232,5.0,12.82051282051282,316811852.1314932,short,-0.14285714285714285
5432476272.985456,7551412.0,0.0,50.73681395915743,UNI,27502931.0,0.1470533718158984,0.1470533718158984,0.0,50.88386733097333,20251103,50.88386733097333,2.0,5.128205128205128,5459979203.985456,short,-0.14285714285714285
