tvl,daily_fees,daily_revenue,utility_yield_pct,symbol,total_tvl,weighted_apy,weighted_apy_base,weighted_apy_reward,total_yield_pct,date,factor_score,factor_rank,factor_percentile,total_tvl_all,signal,weight
37898738567.07404,2628798.0,0.0,2.531776270869373,AAVE,282612120.0,0.2003882013998196,0.0249085972766843,0.1754796041231352,2.7321644722691927,20251103,0.2003882013998196,20.0,47.5,38181350687.07404,neutral,0.0
0.0,0.0,0.0,0.0,ADA,46113807.0,1.797809947308406,1.7904657065694012,0.0073383542156907,1.797809947308406,20251103,1.797809947308406,11.0,27.500000000000004,46113807.0,neutral,0.0
536516099.5752396,356855.0,0.0,24.277384239377103,AERO,0.0,0.0,0.0,0.0,24.277384239377103,20251103,0.0,35.0,77.5,536516099.5752396,neutral,0.0
0.0,0.0,0.0,0.0,ALGO,7167939.0,1.88,1.88,0.0,1.88,20251103,1.88,10.0,25.0,7167939.0,neutral,0.0
0.0,0.0,0.0,0.0,ARB,15440271.0,0.2532508813167852,0.2532508813167852,0.0,0.2532508813167852,20251103,0.2532508813167852,19.0,45.0,15440271.0,neutral,0.0
0.0,0.0,0.0,0.0,ATOM,2119317.0,1.9237224382006088,1.9237224382006088,0.0,1.9237224382006088,20251103,1.9237224382006088,9.0,22.5,2119317.0,neutral,0.0
0.0,0.0,0.0,0.0,AVAX,225089903.0,1.160240016814437,1.1602365324529018,3.484361535310627e-06,1.160240016814437,20251103,1.160240016814437,13.0,32.5,225089903.0,neutral,0.0
768145969.0068208,47542.0,0.0,2.259053708559644,BAL,0.0,0.0,0.0,0.0,2.259053708559644,20251103,0.0,35.0,77.5,768145969.0068208,neutral,0.0
0.0,0.0,0.0,0.0,BNB,2408858536.0,6.97959044833054,6.979571297952488,5.856347074421975e-06,6.97959044833054,20251103,6.97959044833054,3.0,7.5,2408858536.0,short,-0.125
54540446.19906409,1301.0,0.0,0.8706657775897488,BNT,0.0,0.0,0.0,0.0,0.8706657775897488,20251103,0.0,35.0,77.5,54540446.19906409,neutral,0.0
0.0,0.0,0.0,0.0,BTC,18558422925.0,0.4523541965164553,0.2558954716849906,0.1876125706136993,0.4523541965164553,20251103,0.4523541965164553,16.0,40.0,18558422925.0,neutral,0.0
2761382074.37472,778744.0,0.0,10.293452783579864,CAKE,0.0,0.0,0.0,0.0,10.293452783579864,20251103,0.0,35.0,77.5,2761382074.37472,neutral,0.0
2560810183.116164,148406.0,0.0,2.115275484186202,COMP,0.0,0.0,0.0,0.0,2.115275484186202,20251103,0.0,35.0,77.5,2560810183.116164,neutral,0.0
1488010.4998400914,78.0,0.0,1.913292950759388,CRO,0.0,0.0,0.0,0.0,1.913292950759388,20251103,0.0,35.0,77.5,1488010.4998400914,neutral,0.0
2584549049.40952,65649.0,0.0,0.9271205359973516,CRV,5419965.0,0.5373992605229,0.5373992605229,0.0,1.4645197965202517,20251103,0.5373992605229,15.0,37.5,2589969014.40952,neutral,0.0
990972400.7360544,88691.0,0.0,3.2667120674556847,CVX,0.0,0.0,0.0,0.0,3.2667120674556847,20251103,0.0,35.0,77.5,990972400.7360544,neutral,0.0
0.0,0.0,0.0,0.0,DAI,907157628.0,1.0945557104665826,0.4594533439743395,0.0040613613163488,1.0945557104665826,20251103,1.0945557104665826,14.0,35.0,907157628.0,neutral,0.0
0.0,0.0,0.0,0.0,DOT,12904692.0,12.281680883724308,2.505953055529725,9.775727828194585,12.281680883724308,20251103,12.281680883724308,2.0,5.0,12904692.0,short,-0.125
