Rank,Coin,Symbol,Data Points,Avg FR %,Std FR %,Min FR %,Max FR %
1,Bitcoin,BTC,90,0.6225,0.452,-0.6756,1.0
2,Ethereum,ETH,90,0.5552,0.5266,-1.0779,1.0
3,XRP,XRP,90,0.8121,0.4471,-1.2006,1.0
4,Tether USDt,USDT,62,-4.1909,13.1893,-81.6104,0.5
5,Solana,SOL,90,0.4603,1.5145,-12.4921,1.0
6,BNB,BNB,90,0.4368,0.9198,-0.2396,4.5394
7,Dogecoin,DOGE,90,0.6413,0.6924,-2.6359,1.0
8,USDC,USDC,90,-0.1257,0.7469,-2.1888,1.0
9,Cardano,ADA,90,0.7706,0.4634,-1.5334,1.0
10,TRON,TRX,90,0.6194,0.7659,-3.1376,2.3742
11,Avalanche,AVAX,90,0.3203,2.0608,-15.3311,1.0
12,Sui,SUI,90,0.5023,0.4777,-1.4842,1.0
13,Chainlink,LINK,90,0.7807,0.3875,-1.008,1.0
14,Toncoin,TON,90,0.1253,0.5561,-2.0037,0.5
15,Shiba Inu,SHIB,90,0.3496,1.5059,-11.266,1.0
16,Stellar,XLM,90,0.8468,0.4365,-1.7486,1.0
17,Polkadot,DOT,90,0.5386,1.1361,-7.3965,1.0
18,Hedera,HBAR,90,0.3823,0.8039,-2.7357,1.0
19,Bitcoin Cash,BCH,90,0.8486,0.5007,-2.1108,1.0
20,Uniswap,UNI,90,0.8192,0.6232,-3.6459,2.5128
21,Litecoin,LTC,90,0.7871,0.4592,-1.3497,1.074
22,Pepe,PEPE,90,0.3527,3.2718,-29.9374,1.0914
24,Hyperliquid,HYPE,90,0.6506,0.8323,-2.0558,3.4189
26,NEAR Protocol,NEAR,90,0.7851,0.6045,-2.851,1.0
28,Internet Computer,ICP,90,0.1882,0.9202,-3.3566,1.0
29,Aptos,APT,90,-0.2473,4.1749,-29.2848,2.7931
30,Dai,DAI,87,0.125,0.0,0.125,0.125
31,Aave,AAVE,90,0.7434,0.9796,-7.2051,1.0
32,Mantle,MNT,90,0.7446,0.4926,-1.3276,1.0
33,POL (ex-MATIC),POL,90,0.2188,0.4739,-1.4481,0.5
34,Render,RENDER,90,0.264,0.4558,-1.9215,0.5
