tvl,daily_fees,daily_revenue,utility_yield_pct,symbol,total_tvl,weighted_apy,weighted_apy_base,weighted_apy_reward,total_yield_pct,date
37898738567.07404,2628798.0,0.0,2.531776270869373,AAVE,282612120.0,0.20038820139981964,0.02490859727668438,0.17547960412313526,2.7321644722691927,20251103
0.0,0.0,0.0,0.0,ADA,46113807.0,1.797809947308406,1.7904657065694012,0.007338354215690759,1.797809947308406,20251103
536516099.5752396,356855.0,0.0,24.277384239377106,AERO,0.0,0.0,0.0,0.0,24.277384239377106,20251103
0.0,0.0,0.0,0.0,ALGO,7167939.0,1.8799999999999997,1.8799999999999997,0.0,1.8799999999999997,20251103
0.0,0.0,0.0,0.0,ARB,15440271.0,0.2532508813167852,0.2532508813167852,0.0,0.2532508813167852,20251103
0.0,0.0,0.0,0.0,ATOM,2119317.0,1.9237224382006088,1.9237224382006088,0.0,1.9237224382006088,20251103
0.0,0.0,0.0,0.0,AVAX,225089903.0,1.160240016814437,1.1602365324529018,3.484361535310627e-06,1.160240016814437,20251103
768145969.0068208,47542.0,0.0,2.259053708559644,BAL,0.0,0.0,0.0,0.0,2.259053708559644,20251103
0.0,0.0,0.0,0.0,BNB,2408858536.0,6.97959044833054,6.979571297952488,5.8563470744219745e-06,6.97959044833054,20251103
54540446.19906409,1301.0,0.0,0.8706657775897488,BNT,0.0,0.0,0.0,0.0,0.8706657775897488,20251103
0.0,0.0,0.0,0.0,BTC,18558422925.0,0.45235419651645536,0.25589547168499066,0.18761257061369938,0.45235419651645536,20251103
2761382074.3747196,778744.0,0.0,10.293452783579864,CAKE,0.0,0.0,0.0,0.0,10.293452783579864,20251103
2560810183.116164,148406.0,0.0,2.115275484186202,COMP,0.0,0.0,0.0,0.0,2.115275484186202,20251103
1488010.4998400914,78.0,0.0,1.9132929507593877,CRO,0.0,0.0,0.0,0.0,1.9132929507593877,20251103
2584549049.40952,65649.0,0.0,0.9271205359973516,CRV,5419965.0,0.5373992605229,0.5373992605229,0.0,1.4645197965202517,20251103
990972400.7360544,88691.0,0.0,3.2667120674556847,CVX,0.0,0.0,0.0,0.0,3.2667120674556847,20251103
0.0,0.0,0.0,0.0,DAI,907157628.0,1.0945557104665826,0.4594533439743395,0.004061361316348872,1.0945557104665826,20251103
0.0,0.0,0.0,0.0,DOT,12904692.0,12.281680883724308,2.505953055529725,9.775727828194583,12.281680883724308,20251103
42492458.20660767,0.0,0.0,0.0,DRIFT,0.0,0.0,0.0,0.0,0.0,20251103
16210201200.265,17667.0,0.0,0.03978022802020855,EIGEN,0.0,0.0,0.0,0.0,0.03978022802020855,20251103
9270993936.168236,289.0,0.0,0.0011377960197825096,ENA,0.0,0.0,0.0,0.0,0.0011377960197825096,20251103
0.0,2581.0,0.0,inf,ENS,0.0,0.0,0.0,0.0,inf,20251103
0.0,0.0,0.0,0.0,ETH,50504515381.0,3.222728158416282,2.669265770764123,0.5263935983825911,3.222728158416282,20251103
1000427919.5037792,807320.0,0.0,29.454575812534273,ETHFI,0.0,0.0,0.0,0.0,29.454575812534273,20251103
0.0,7137.0,0.0,inf,INJ,0.0,0.0,0.0,0.0,inf,20251103
1574341.9086271753,11322.0,0.0,262.49253591956796,KNC,0.0,0.0,0.0,0.0,262.49253591956796,20251103
33298839141.932552,2563514.0,0.0,2.809955644434805,LDO,2579588.0,0.15821,0.15821,0.0,2.968165644434805,20251103
0.0,12334.0,0.0,inf,LINK,401684441.0,1.243109194503155,1.1557597322441473,0.08734946225900744,inf,20251103
6573602807.223443,1167201.0,0.0,6.480896054928298,MKR,0.0,0.0,0.0,0.0,6.480896054928298,20251103
8375779678.56502,712697.0,0.0,3.105793310988423,MORPHO,0.0,0.0,0.0,0.0,3.105793310988423,20251103
0.0,0.0,0.0,0.0,NEAR,188794.0,0.280316977234446,0.280316977234446,0.0,0.280316977234446,20251103
1466293811.131779,143688.0,0.0,3.576781106340396,ONDO,0.0,0.0,0.0,0.0,3.576781106340396,20251103
0.0,0.0,0.0,0.0,OP,6788065.0,0.30324045585155707,0.19103903806018355,0.11220141779137353,0.30324045585155707,20251103
0.0,0.0,0.0,0.0,OSMO,549753.0,0.0,0.0,0.0,0.0,20251103
6903487089.443731,14321.0,0.0,0.07571774861421801,PENDLE,23415095.0,35.15371523827514,33.32403901339328,1.8296762248818552,35.22943298688936,20251103
0.0,70.0,0.0,inf,PYTH,30118.0,0.01,0.01,0.0,inf,20251103
2445312978.946492,23251.0,0.0,0.34705639208835615,RPL,0.0,0.0,0.0,0.0,0.34705639208835615,20251103
0.0,0.0,0.0,0.0,SAFE,0.0,0.0,0.0,0.0,0.0,20251103
132493390.06765388,22.0,0.0,0.006060679703266491,SNX,0.0,0.0,0.0,0.0,0.006060679703266491,20251103
0.0,0.0,0.0,0.0,SOL,7098339907.0,5.049101684739348,5.039624280239281,0.009477404677745592,5.049101684739348,20251103
0.0,0.0,0.0,0.0,SUI,49305407.0,5.055125620450714,3.621592883691235,0.0,5.055125620450714,20251103
316811852.1314932,241454.0,0.0,27.817996519720232,SUSHI,0.0,0.0,0.0,0.0,27.817996519720232,20251103
5432476272.9854555,7551412.0,0.0,50.73681395915743,UNI,27502931.0,0.14705337181589845,0.14705337181589845,0.0,50.88386733097333,20251103
0.0,0.0,0.0,0.0,USDT,6496221985.0,4.007592745026114,3.290824896933214,0.6483506920790301,4.007592745026114,20251103
0.0,0.0,0.0,0.0,XTZ,3174956.0,5.0162513868444165,0.39139392567959996,4.624857461164816,5.0162513868444165,20251103
702478190.2723539,69590.0,0.0,3.6158204413651864,YFI,0.0,0.0,0.0,0.0,3.6158204413651864,20251103
