symbol,id,name,current_price,market_cap,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,price_change_percentage_24h,timestamp
BTC,bitcoin,Bitcoin,109560.0,2185877651184.0,2185878418402,38564617354,19943668.0,19943675.0,21000000.0,-0.30638,2025-11-03T02:05:14.262540
BNB,binancecoin,BNB,1070.91,147651291109.0,147651291109,1089459812,137737806.1,137737806.1,200000000.0,-1.59009,2025-11-03T02:05:14.262540
DOGE,dogecoin,Dogecoin,0.182922,27732888812.0,27736930078,1002843246,151591006383.7052,151613096383.7052,,-1.69615,2025-11-03T02:05:14.262540
ADA,cardano,Cardano,0.597084,21852290770.0,26881504226,778594458,36581028961.5495,45000000000.0,45000000000.0,-1.9046,2025-11-03T02:05:14.262540
BCH,bitcoin-cash,Bitcoin Cash,533.02,10638072596.0,10638085928,297924843,19947709.27165078,19947734.27165078,21000000.0,-3.53541,2025-11-03T02:05:14.262540
AVAX,avalanche-2,Avalanche,18.27,7807808980.0,8417715002,289634923,426754954.1172679,460090863.9963745,720000000.0,-2.12482,2025-11-03T02:05:14.262540
CRO,crypto-com-chain,Cronos,0.143535,5185879289.0,14098860756,18367848,36093107015.51594,98126404744.48007,100000000000.0,-1.75742,2025-11-03T02:05:14.262540
DAI,dai,Dai,1.0,4655584411.0,4655584411,93406332,4654280797.570544,4654280797.570544,,5e-05,2025-11-03T02:05:14.262540
DOT,polkadot,Polkadot,2.9,4427584128.0,4427584128,205125246,1522267060.0,1522267060.0,,-1.701,2025-11-03T02:05:14.262540
AAVE,aave,Aave,225.85,3450963554.0,3617850130,330883448,15261941.45145595,16000000.0,16000000.0,1.39527,2025-11-03T02:05:14.262540
APT,aptos,Aptos,3.28,2363661169.0,3883724317,275927725,719717085.0032405,1182564904.629303,,-0.79714,2025-11-03T02:05:14.262540
ARB,arbitrum,Arbitrum,0.298047,1644557753.0,2984845213,137402629,5509691911.0,10000000000.0,10000000000.0,-2.3847,2025-11-03T02:05:14.262540
ALGO,algorand,Algorand,0.173895,1530854048.0,1530869607,45319322,8790285359.724953,8790374703.169708,10000000000.0,-2.18479,2025-11-03T02:05:14.262540
ATOM,cosmos,Cosmos Hub,2.96,1411893113.0,1411893113,61917762,476224011.63904,476224011.63904,,-1.36487,2025-11-03T02:05:14.262540
DASH,dash,Dash,93.9,1170421393.0,1170542239,1033892176,12469685.85276813,12470973.34479781,18920000.0,32.3237,2025-11-03T02:05:14.262540
BONK,bonk,Bonk,1.38e-05,1069064307.0,1215101233,114827023,77419592329436.58,87995307227078.66,87995307227078.66,-2.53741,2025-11-03T02:05:14.262540
AERO,aerodrome-finance,Aerodrome Finance,0.981523,885879272.0,1743231459,39852565,902699570.3645201,1776330407.327852,,-3.11253,2025-11-03T02:05:14.262540
CAKE,pancakeswap-token,PancakeSwap,2.44,832253256.0,867907317,89530419,341027996.388393,355637771.6427676,450000000.0,-2.85423,2025-11-03T02:05:14.262540
CRV,curve-dao-token,Curve DAO,0.462681,657131688.0,1073182091,95127655,1420223548.0,2319411016.65636,3030303031.0,-3.02245,2025-11-03T02:05:14.262540
ATH,aethir,Aethir,0.02816842,401678459.0,1185164256,30540334,14234731752.0,42000000000.0,42000000000.0,2.44788,2025-11-03T02:05:14.262540
APE,apecoin,ApeCoin,0.400642,364301215.0,400919267,20116499,908664773.0,1000000000.0,1000000000.0,-1.83257,2025-11-03T02:05:14.262540
COMP,compound-governance-token,Compound,34.89,336458332.0,349039539,17546495,9639547.802106522,10000000.0,10000000.0,-2.17783,2025-11-03T02:05:14.262540
CHZ,chiliz,Chiliz,0.03128399,315402103.0,315402103,18695522,10078645125.0,10078645125.0,,0.0171,2025-11-03T02:05:14.262540
BAT,basic-attention-token,Basic Attention,0.193097,288261102.0,289087515,54224471,1495711956.9526057,1500000000.0,1500000000.0,4.2261,2025-11-03T02:05:14.262540
AXS,axie-infinity,Axie Infinity,1.42,237827994.0,384722024,19669641,166908974.1147765,270000000.0,270000000.0,-1.20118,2025-11-03T02:05:14.262540
1INCH,1inch,1INCH,0.168435,235755816.0,252706726,12862970,1399383897.93392,1499999999.997,1499999999.997,0.3432,2025-11-03T02:05:14.262540
AIOZ,aioz-network,AIOZ Network,0.174834,211180962.0,212477371,4779645,1206725269.21869,1214133178.229003,,-2.06905,2025-11-03T02:05:14.262540
AMP,amp-token,Amp,0.0024655,207660118.0,245719909,5336811,84231346590.2867,99669205039.99,99669205039.99,-3.01182,2025-11-03T02:05:14.262540
AKT,akash-network,Akash Network,0.672968,190885189.0,191119208,6334869,281153492.73707,281498178.131369,388539008.0,-5.8684,2025-11-03T02:05:14.262540
AXL,axelar,Axelar,0.173744,185127316.0,212555691,17435363,1063969439.845729,1221606644.754627,,-3.48445,2025-11-03T02:05:14.262540
ARKM,arkham,Arkham,0.34555,178004184.0,346107025,34922829,514303874.0,1000000000.0,1000000000.0,-3.04863,2025-11-03T02:05:14.262540
CVX,convex-finance,Convex Finance,2.12,173440519.0,211392545,7464873,81990703.72425415,99931801.73443283,100000000.0,-4.72316,2025-11-03T02:05:14.262540
BIO,bio-protocol,Bio Protocol,0.084438,149815666.0,281050515,53245127,1769745956.34,3320000000.0,3320000000.0,-1.55793,2025-11-03T02:05:14.262540
CELO,celo,Celo,0.253831,148951982.0,253841624,45643091,586791005.0,1000000000.0,1000000000.0,2.24365,2025-11-03T02:05:14.262540
BLUR,blur,Blur,0.04748079,122826513.0,142594102,25200678,2584114862.252663,3000000000.0,3000000000.0,-4.64268,2025-11-03T02:05:14.262540
ANKR,ankr,Ankr Network,0.00971181,97147674.0,97147674,5083381,10000000000.0,10000000000.0,10000000000.0,-2.21297,2025-11-03T02:05:14.262540
API3,api3,Api3,0.65962,87127440.0,101825785,10392336,131799192.3639924,154033634.0943223,154033634.0943223,-2.75772,2025-11-03T02:05:14.262540
BAND,band-protocol,Band,0.509642,85182021.0,85532365,8450192,166900496.439112,167586937.482406,,-3.27071,2025-11-03T02:05:14.262540
COTI,coti,COTI,0.03217321,78992022.0,78992232,6417736,2454105715.899519,2454112234.086445,4910000000.0,-2.0398,2025-11-03T02:05:14.262540
BAL,balancer,Balancer,0.97621,63139139.0,68825471,1860050,64580537.0262452,70396682.02877188,96150704.0,-1.19239,2025-11-03T02:05:14.262540
BNT,bancor,Bancor Network,0.565963,62741138.0,62741138,640626,110817073.5735993,110817073.5735993,110817073.5735993,-3.14966,2025-11-03T02:05:14.262540
DIA,dia-data,DIA,0.489984,58663092.0,82751205,5198811,119676104.0,168817248.0,200000000.0,-4.28951,2025-11-03T02:05:14.262540
BICO,biconomy,Biconomy,0.057997,57604536.0,58008850,4919543,993030137.4119478,1000000000.0,1000000000.0,-3.0311,2025-11-03T02:05:14.262540
AUDIO,audius,Audius,0.03913091,53677638.0,53677638,13801681,1369152551.0,1369152551.194043,1369152551.194043,-1.31233,2025-11-03T02:05:14.262540
CVC,civic,Civic,0.056558,45366179.0,56566307,3020843,802000010.0,1000000000.0,,-1.71157,2025-11-03T02:05:14.262540
CTSI,cartesi,Cartesi,0.04801876,42542834.0,48018692,6144201,885964031.7900137,1000000000.0,1000000000.0,-2.95125,2025-11-03T02:05:14.262540
CELR,celer-network,Celer Network,0.00559986,31613765.0,55998614,3396565,5645454935.82688,10000000000.0,10000000000.0,1.49368,2025-11-03T02:05:14.262540
ALICE,my-neighbor-alice,My Neighbor Alice,0.27078,24985051.0,27133087,14082578,92083333.0,100000000.0,100000000.0,-3.1847,2025-11-03T02:05:14.262540
CFG,centrifuge,Centrifuge [OLD],0.195907,0.0,112197906,75513,0.0,572710081.0,,0.42745,2025-11-03T02:05:14.262540
BTRST,braintrust,Braintrust,0.113867,0.0,28464306,163728,0.0,250000000.0,250000000.0,-2.85378,2025-11-03T02:05:14.262540
ETH,ethereum,Ethereum,3833.58,463354114532.0,463354114532,18655097601,120697887.06765,120697887.06765,,-0.89306,2025-11-03T02:05:14.262540
LINK,chainlink,Chainlink,17.04,11894102662.0,17068383678,549656750,696849970.4525868,1000000000.0,1000000000.0,-0.18001,2025-11-03T02:05:14.262540
HBAR,hedera-hashgraph,Hedera,0.190145,8081012981.0,9512618289,246685776,42475229929.28689,50000000000.0,50000000000.0,-2.66134,2025-11-03T02:05:14.262540
LTC,litecoin,Litecoin,97.85,7488381314.0,7488530027,579992322,76476483.23347135,76478001.98347135,84000000.0,-2.14889,2025-11-03T02:05:14.262540
NEAR,near,NEAR Protocol,2.14,2740800272.0,2740800296,181944959,1278952520.0,1278952531.0,,-0.86788,2025-11-03T02:05:14.262540
ENA,ethena,Ethena,0.361173,2583285099.0,5414746058,220472519,7156250000.0,15000000000.0,,-5.99736,2025-11-03T02:05:14.262540
ETC,ethereum-classic,Ethereum Classic,16.02,2470035688.0,2470035688,60381499,154171467.9254434,154171467.9254434,210700000.0,-1.2438,2025-11-03T02:05:14.262540
ICP,internet-computer,Internet Computer,4.09,2209716592.0,2209716592,410552676,539474927.9326715,539474927.9326715,,20.42335,2025-11-03T02:05:14.262540
FLR,flare-networks,Flare,0.01562169,1219978108.0,1628215768,11428020,78093894207.48799,104226222666.7683,,-3.32185,2025-11-03T02:05:14.262540
FIL,filecoin,Filecoin,1.64,1163128753.0,3230013404,237738233,705380706.0,1958845166.0,1958845166.0,-2.78575,2025-11-03T02:05:14.262540
MORPHO,morpho,Morpho,2.02,1061347049.0,2024247986,25192130,524316712.4913459,1000000000.0,1000000000.0,0.53263,2025-11-03T02:05:14.262540
IMX,immutable-x,Immutable,0.492872,969932160.0,987482033,26375255,1964455307.3898141,2000000000.0,2000000000.0,-3.77523,2025-11-03T02:05:14.262540
LDO,lido-dao,Lido DAO,0.858197,769566297.0,859112635,38511641,895768803.2933229,1000000000.0,1000000000.0,-2.59305,2025-11-03T02:05:14.262540
INJ,injective-protocol,Injective,7.57,740931111.0,758162473,62175540,97727220.33,100000000.0,,-4.17611,2025-11-03T02:05:14.262540
GRT,the-graph,The Graph,0.063008,665986368.0,680865552,21284361,10564241043.08203,10800262816.04821,10800262823.318213,-1.27384,2025-11-03T02:05:14.262540
FLOKI,floki,FLOKI,6.808e-05,658228014.0,681511153,48149082,9658360110640.0,10000000000000.0,10000000000000.0,-3.01474,2025-11-03T02:05:14.262540
FET,fetch-ai,Artificial Superintelligence Alliance,0.239051,622895727.0,649087593,127860320,2604959126.672,2714493896.672,2714493896.672,-6.89567,2025-11-03T02:05:14.262540
ETHFI,ether-fi,Ether.fi,0.962509,544191881.0,963277055,68199050,564111001.0,998535999.0,1000000000.0,-2.69936,2025-11-03T02:05:14.262540
ENS,ethereum-name-service,Ethereum Name Service,14.83,491984940.0,1483420055,31257151,33165585.054507963,100000000.0,100000000.0,-1.48031,2025-11-03T02:05:14.262540
JASMY,jasmycoin,JasmyCoin,0.00988818,478973305.0,494602752,15275272,48419999999.3058,50000000000.0,50000000000.0,-1.65372,2025-11-03T02:05:14.262540
HNT,helium,Helium,2.34,436486340.0,522411456,8212835,186321438.090597,223000000.0,223000000.0,-1.81895,2025-11-03T02:05:14.262540
MANA,decentraland,Decentraland,0.226749,435208408.0,497350164,21895244,1919151038.6888878,2193179327.320146,2193179327.320146,-1.94184,2025-11-03T02:05:14.262540
FLOW,flow,Flow,0.259918,420831282.0,420831282,5226281,1618946500.268663,1618946500.268663,,-2.12644,2025-11-03T02:05:14.262540
JTO,jito-governance-token,Jito,0.930161,368666525.0,930652229,21552268,396137798.3,1000000000.0,,-0.56571,2025-11-03T02:05:14.262540
EIGEN,eigenlayer,EigenCloud (prev. EigenLayer),0.845846,367040504.0,1489186733,71396651,433954591.9407846,1760676039.32922,,-4.68246,2025-11-03T02:05:14.262540
GNO,gnosis,Gnosis,131.88,348184353.0,395725644,7981924,2639589.0,3000000.0,3000000.0,0.63523,2025-11-03T02:05:14.262540
FARTCOIN,fartcoin,Fartcoin,0.322703,322456468.0,322456468,53238345,999982659.501711,999982659.501711,1000000000.0,-2.9721,2025-11-03T02:05:14.262540
EGLD,elrond-erd-2,MultiversX,9.5,273800376.0,273800376,12818330,28754830.0,28754830.0,31415926.0,-0.5869,2025-11-03T02:05:14.262540
LPT,livepeer,Livepeer,5.28,244235565.0,244235565,115073748,46152732.0036869,46152732.0036869,46152732.0036869,-15.03268,2025-11-03T02:05:14.262540
KSM,kusama,Kusama,10.7,184679043.0,184679043,43146173,17268391.33174323,17268391.33174323,,7.03807,2025-11-03T02:05:14.262540
GLM,golem,Golem,0.180907,181023688.0,181023688,5017713,1000000000.0,1000000000.0,,-2.78369,2025-11-03T02:05:14.262540
EOS,eos,EOS,0.266365,170718816.0,559804231,152436,640419442.6007,2100000000.0,2100000000.0,-1.7025,2025-11-03T02:05:14.262540
MOG,mog-coin,Mog Coin,4.17893e-07,163213113.0,163213113,31052546,390564927942015.44,390564927942015.44,420690000000000.0,-13.99141,2025-11-03T02:05:14.262540
MINA,mina-protocol,Mina Protocol,0.129098,163189928.0,163189928,361038329,1260069356.840039,1260069356.840039,,2.89419,2025-11-03T02:05:14.262540
DRIFT,drift-protocol,Drift Protocol,0.39331,150633310.0,393660253,8941602,382648003.607944,1000000000.0,1000000000.0,-3.84609,2025-11-03T02:05:14.262540
KAVA,kava,Kava,0.136441,147731060.0,147731060,16247659,1082847745.0,1082847745.0,,1.92431,2025-11-03T02:05:14.262540
IOTX,iotex,IoTeX,0.01157855,109338829.0,109338830,10047188,9441368979.0,9441368983.0,10000000000.0,0.24291,2025-11-03T02:05:14.262540
ILV,illuvium,Illuvium,10.28,97648567.0,98828162,5875671,9482943.304578358,9597497.316443264,,-3.37691,2025-11-03T02:05:14.262540
MASK,mask-network,Mask Network,0.833719,83408177.0,83408177,13148805,100000000.0,100000000.0,100000000.0,-1.63445,2025-11-03T02:05:14.262540
LRC,loopring,Loopring,0.065545,81741136.0,90130611,8429106,1245991468.94246,1373873397.442457,1374513896.0,-2.03249,2025-11-03T02:05:14.262540
GMT,stepn,GMT,0.02456179,76443172.0,124658090,14483919,3111400155.102167,5073850155.102167,6000000000.0,-3.36772,2025-11-03T02:05:14.262540
ME,magic-eden,Magic Eden,0.443301,74225484.0,444101457,8697773,167136322.049437,1000000000.0,1000000000.0,-2.786,2025-11-03T02:05:14.262540
IO,io,io.net,0.302324,70810601.0,242306032,20295608,233788535.0638836,799998462.9391212,800000000.0,-5.81886,2025-11-03T02:05:14.262540
METIS,metis-token,Metis,9.23,61926409.0,92471167,18834139,6696834.342,10000000.0,10000000.0,-1.06977,2025-11-03T02:05:14.262540
KNC,kyber-network-crystal,Kyber Network Crystal,0.287611,48943784.0,69194872,5143436,170152851.23024455,240555672.3398933,252301550.0,-0.91068,2025-11-03T02:05:14.262540
MAGIC,magic,Treasure,0.130131,41244106.0,45297940,9185868,316571598.5243435,347687044.4673523,347714007.0,-3.61324,2025-11-03T02:05:14.262540
MLN,melon,Enzyme,6.68,19970724.0,19970724,6848322,2988440.143511012,2988440.143511012,2988440.143511012,-2.38488,2025-11-03T02:05:14.262540
NKN,nkn,NKN,0.01792032,14223395.0,14228478,1256644,793701980.6350546,793985650.4876395,1000000000.0,-2.913,2025-11-03T02:05:14.262540
MKR,maker,Maker,1304.06,0.0,205117374,492749,0.0,157545.2469372631,1005577.0,-2.16843,2025-11-03T02:05:14.262540
SOL,solana,Solana,185.6,102548082998.0,113801771677,3519773292,552494480.4222864,613125559.0127959,,0.39027,2025-11-03T02:05:14.262540
SUI,sui,Sui,2.3,8467274913.0,23000614746,612613660,3681325480.198332,10000000000.0,10000000000.0,-2.6572,2025-11-03T02:05:14.262540
SHIB,shiba-inu,Shiba Inu,9.98e-06,5879013498.0,5881561528,118755090,589245434191652.4,589500819659593.2,,-1.43014,2025-11-03T02:05:14.262540
TAO,bittensor,Bittensor,478.93,4597431314.0,10059510093,248538645,9597491.0,21000000.0,21000000.0,-4.66404,2025-11-03T02:05:14.262540
PEPE,pepe,Pepe,6.49e-06,2734575585.0,2734575585,220180960,420690000000000.0,420690000000000.0,420690000000000.0,-2.8056,2025-11-03T02:05:14.262540
ONDO,ondo-finance,Ondo,0.678911,2145924179.0,6792817779,72886404,3159107529.0,10000000000.0,10000000000.0,-2.82686,2025-11-03T02:05:14.262540
POL,polygon-ecosystem-token,POL (ex-MATIC),0.187497,1976457710.0,1976457710,56745463,10529931013.23242,10529931013.23242,,-1.88717,2025-11-03T02:05:14.262540
PAXG,pax-gold,PAX Gold,3996.48,1330062981.0,1330062981,93055247,332951.91,332951.91,,-0.24192,2025-11-03T02:05:14.262540
SEI,sei-network,Sei,0.188889,1181524821.0,1890775851,89611794,6248888888.0,10000000000.0,,-2.31378,2025-11-03T02:05:14.262540
RENDER,render-token,Render,2.22,1152776941.0,1185587762,44304601,518584616.1640741,533344789.4440741,644245094.0,-4.50891,2025-11-03T02:05:14.262540
QNT,quant-network,Quant,78.72,1144791022.0,1150168329,13061534,14544176.164071087,14612493.0,14612493.0,-1.44355,2025-11-03T02:05:14.262540
TIA,celestia,Celestia,0.934343,779311185.0,1075901891,75120745,833792604.465651,1151117880.963058,,-2.94691,2025-11-03T02:05:14.262540
