date,symbol,base,open,high,low,close,volume
2020-01-01,ALGO/USD,ALGO,0.2155,0.223,0.2148,0.2191,244812.0
2020-01-01,BCH/USD,BCH,203.81,208.25,202.26,203.59,9741.11758861
2020-01-01,BTC/USD,BTC,7165.72,7238.14,7136.05,7174.33,3350.63004888
2020-01-01,DASH/USD,DASH,40.828,42.5,40.544,41.806,2795.72382276
2020-01-01,EOS/USD,EOS,2.572,2.629,2.562,2.594,131528.7
2020-01-01,ETC/USD,ETC,4.465,4.557,4.454,4.485,63851.26399835
2020-01-01,ETH/USD,ETH,128.54,132.68,128.12,130.19,57512.49500629
2020-01-01,LINK/USD,LINK,1.75983,1.85,1.75501,1.80218,507769.17
2020-01-01,LTC/USD,LTC,41.09,41.97,40.99,41.49,53494.10370447
2020-01-01,OXT/USD,OXT,0.3381,0.3451,0.319,0.3238,2070793.0
2020-01-02,ALGO/USD,ALGO,0.2191,0.2206,0.2095,0.2133,624817.0
2020-01-02,BCH/USD,BCH,203.62,204.67,192.38,194.97,21230.93584067
2020-01-02,BTC/USD,BTC,7174.33,7186.18,6903.0,6945.02,8010.92738748
2020-01-02,DASH/USD,DASH,41.803,41.803,38.461,39.831,3261.58323526
2020-01-02,EOS/USD,EOS,2.591,2.6,2.412,2.454,286398.3
2020-01-02,ETC/USD,ETC,4.482,4.495,4.16,4.217,144627.05057192
2020-01-02,ETH/USD,ETH,130.14,130.18,125.83,126.81,49211.56901537
2020-01-02,LINK/USD,LINK,1.80467,1.80871,1.70167,1.73534,681650.37
2020-01-02,LTC/USD,LTC,41.49,41.56,38.74,39.32,88465.20189162
2020-01-02,OXT/USD,OXT,0.3246,0.3341,0.2974,0.3009,5219423.0
2020-01-03,ALGO/USD,ALGO,0.2134,0.2284,0.2134,0.227,891477.0
2020-01-03,BCH/USD,BCH,194.9,225.6,191.48,221.16,51956.78327708
2020-01-03,BTC/USD,BTC,6945.02,7401.2,6854.67,7334.45,14056.39238489
2020-01-03,DASH/USD,DASH,39.943,44.062,39.825,43.704,5208.88486787
2020-01-03,EOS/USD,EOS,2.446,2.66,2.425,2.632,263079.8
2020-01-03,ETC/USD,ETC,4.217,4.62,4.171,4.569,159560.10630798
2020-01-03,ETH/USD,ETH,126.81,134.93,125.52,134.17,88651.89284841
